Date,Actual Return,VaR Normal,VaR t-Distribution,VaR Skewed Normal
2256,-0.0118761625680561,-0.032690354414172375,-0.03969866251456438,-0.034740434273167774
2257,-0.0085159095592676,-0.032713185159086375,-0.03965798184690655,-0.034761541045314794
2258,0.0013675518061473,-0.03273152345765999,-0.03966693045883415,-0.03477278237101042
2259,0.0148417624286249,-0.03273123400228362,-0.039666803634854135,-0.0347731274717215
2260,-0.0143688433741261,-0.03265940529784875,-0.039519171271162334,-0.03469786471355725
2261,0.0057356741357661,-0.03263877345812569,-0.039329899693581444,-0.034689831010462774
2262,-0.0039511899559189,-0.032638702351914954,-0.039349217114196075,-0.03468827961152005
2263,-0.0125055968624309,-0.03264714896210007,-0.039387423189150075,-0.03469096570769284
2264,0.0178400222857059,-0.03267660492272247,-0.039368814978602416,-0.03471590087539308
2265,-0.0026374642355531,-0.03268623184950829,-0.039341746749693006,-0.0347291496992725
2266,-0.0042188091673041,-0.03269003807934685,-0.03933076321335476,-0.03473069073112443
2267,0.0076905917494364,-0.0326863893246636,-0.03934364593933191,-0.034727487003740634
2268,-0.0114791405678824,-0.032684591413049906,-0.039361173804863966,-0.034724304095674396
2269,0.022673239424561,-0.03270979537570175,-0.03932347434960505,-0.034746367452239274
2270,-0.0005674041763721,-0.03273088974167373,-0.039386302808354645,-0.034765436088045665
2271,0.0069886439667837,-0.032731444520283044,-0.039453222606661766,-0.03476057253454106
2272,0.0125685578386056,-0.03269821049002062,-0.039443996948683085,-0.03473199801505903
2273,0.0036341498760617,-0.032699475658659376,-0.03937881451184626,-0.03473774851037456
2274,0.0038720528441364,-0.03269718779410819,-0.03936608431750189,-0.03473731431511914
2275,-0.0018336225392186,-0.03269752112994705,-0.03940586498475587,-0.03473606267587993
2276,-0.015913967879091,-0.032686797577440904,-0.039442408008681644,-0.03472634441645829
2277,-0.0073065545846866,-0.03272303688229305,-0.03943018697843337,-0.03476303554262805
2278,0.0184576785649612,-0.03273196434866986,-0.03944462217320953,-0.03476424103770302
2279,0.011927171110117,-0.032743114254260484,-0.039468023284086995,-0.034775473518379084
2280,-0.0010739288592814,-0.03274240612123446,-0.03939936961523556,-0.03477980261385952
2281,0.0003749159467223,-0.03274717783867394,-0.03943998988245529,-0.03478005221508958
2282,0.0109303117308463,-0.03274984997440839,-0.03945776580745585,-0.03478073025367049
2283,0.0022951704534507,-0.032746295517669395,-0.03939387703116123,-0.034782919114534086
2284,-0.0126263209920165,-0.03272646066282115,-0.039435977985878015,-0.0347668073818994
2285,0.0145962208774079,-0.03275424379974099,-0.0393969616689603,-0.0347923539286725
2286,0.0105719394480764,-0.0327564796016832,-0.03933424401970085,-0.03479875933782455
2287,0.0144519120882964,-0.03275465712957025,-0.039337046048219936,-0.03479727777947186
2288,-0.0106859682306753,-0.032758741740858126,-0.039284345691259014,-0.03480549728321297
2289,-0.0061300765446553,-0.03277676853951831,-0.039248305252359984,-0.03482168453847492
2290,0.0129937105244786,-0.032788515367263425,-0.03927928311979009,-0.03482559727746376
2291,-0.0109949548633293,-0.03278991151274332,-0.03921598584470991,-0.03483202201381979
2292,-0.0087069385689124,-0.032813412013855764,-0.03917709206028159,-0.03485136479567406
2293,0.0023308549498826,-0.032824074482946296,-0.039151298707923284,-0.0348609701875749
2294,0.0116706797355806,-0.032825537705583364,-0.03917971299003009,-0.03486023951178867
2295,-0.0004602852880816,-0.032825405815703645,-0.039116626980047454,-0.034864784697680964
2296,0.0032420205319141,-0.03282510708688239,-0.03911712839316441,-0.03486463356945554
2297,-0.013864308991538,-0.03282200153692203,-0.039108042572285034,-0.034863840171043374
2298,-0.0025015113195945,-0.03285024593229816,-0.03908470346706564,-0.03489085521793364
2299,-0.020264710827837,-0.032856959748551004,-0.039109381944522056,-0.03489273067804054
2300,-0.0013791407597051,-0.032907056492239975,-0.039155438964631396,-0.034948096218583295
2301,0.0053055289191636,-0.032907079998568775,-0.03915502291821483,-0.03494759324327653
2302,-0.0107401888119572,-0.03289419384547244,-0.03916059496615922,-0.034940405989568685
2303,0.0034002517662105,-0.032900337551822444,-0.03915968823284151,-0.034945871847200036
2304,-0.0037028892889561,-0.03289516709921874,-0.039155129751466636,-0.034943996319057855
2305,-0.0038433947745148,-0.03289879506482768,-0.03919936072790942,-0.03493954237823645
2306,0.0077474133251362,-0.03290696560720502,-0.03919467370085819,-0.03494469915628383
2307,0.0159104817511305,-0.03290707955640809,-0.03918536309717768,-0.0349450534218477
2308,0.0006924528066724,-0.032909935404133894,-0.03913453123691604,-0.034954329836464376
2309,-0.0154473851125952,-0.032912531172020115,-0.039156162363484875,-0.034954205305220976
2310,0.0016306341990359,-0.03295120363446096,-0.03914929983777319,-0.034990029896132945
2311,-0.0186220767843546,-0.03294994063471691,-0.03914725342423877,-0.034989369588719926
2312,-0.0145345058259279,-0.03299397031594654,-0.039168665762430596,-0.03503593167560521
2313,-0.0014262762803271,-0.03302822530026416,-0.0392041629383742,-0.03506367380167823
2314,0.016394947069008,-0.03297863822188367,-0.03918166142566878,-0.03501185524933451
2315,-0.0062740357734992,-0.032982167576361514,-0.039134531718802955,-0.035020633323621875
2316,0.0173931192844301,-0.03299546424196792,-0.039146139590347254,-0.03502714642574346
2317,-0.0117615621694,-0.032993671873790605,-0.039128147860079406,-0.03503340113099763
2318,0.0095697676763231,-0.033020286427488714,-0.03910231813031358,-0.03505577125407985
2319,0.0130447941399389,-0.03302101192488778,-0.039080105009176774,-0.03505761745965422
2320,-0.0171933432240104,-0.033022202318865455,-0.03907999753330355,-0.03505900565522635
2321,0.0026995876559881,-0.03306493368079742,-0.03907602984387501,-0.03510096090399255
2322,0.0065406983260061,-0.03306412648370581,-0.039071729130425795,-0.03510044295679532
2323,0.0018680393352258,-0.03306288899475006,-0.0390432473309664,-0.03510146588569829
2324,-0.0022470709164831,-0.03306442875640819,-0.03906085805078101,-0.035101496769853746
